0.0,208.0,250.0,112.0,749.0,8000.0,300.0,0.0,2.145416560964906,0.0,,0.1591126957165201,457674.0,616840.0,59.426,1.0,,8733.0,5283.0,tiny,2.0,no,3462.0,1520003047911.0,1520003047767.0,1520003045681.0,1520003056644.0,1520003042484.0,O3zza3ofZ0Q
2.0,4.0,1000.0,1.0,749.0,2000.0,16.0,0.0,2.3824724099495933,1.0,,0.12751652430825172,424973.0,621673.0,52.767,1.0,,10917.0,4661.0,tiny,0.0,no,0.0,1520003115446.0,1520003115349.0,1520003113315.0,1520003126363.0,1520003110688.0,bUhdSs0VK9c
6.0,1499.0,125.0,2.0,2.0,250.0,112.0,1.0,1.7411553507591804,0.0,,0.1576380900053227,482555.0,631462.0,58.066,null,,16146.0,6859.0,tiny,1.0,no,10617.0,1520003166838.0,1520003166717.0,1520003163129.0,1520003182984.0,1520003159858.0,tSjhLFWj9TU
1.0,208.0,500.0,16.0,279.0,125.0,16.0,0.0,1.4938446146495106,0.0,,0.12751652430825172,424973.0,621673.0,52.767,null,,19668.0,5902.0,tiny,4.0,no,9135.0,1520003224054.0,1520003223951.0,1520003222411.0,1520003243722.0,1520003218049.0,bUhdSs0VK9c
2.0,78.0,4000.0,112.0,1.0,125.0,0.0,2.0,1.7183156087483447,0.0,,0.1576380900053227,482555.0,631462.0,58.066,null,,16072.0,9550.0,tiny,1.0,no,10951.0,1520003278909.0,1520003278755.0,1520003277189.0,1520003294981.0,1520003269205.0,tSjhLFWj9TU
0.0,29.0,500.0,112.0,2.0,125.0,0.0,40.0,1.5450130126559862,0.0,,0.12751652430825172,424973.0,621673.0,52.767,null,,15117.0,4868.0,tiny,1.0,no,10684.0,1520003335349.0,1520003335248.0,1520003334228.0,1520003350466.0,1520003330380.0,bUhdSs0VK9c
0.0,78.0,125.0,16.0,279.0,16000.0,300.0,15.0,2.515321540245525,1.0,,0.1591126957165201,457674.0,616840.0,59.426,1.0,,4898.0,10933.0,tiny,0.0,no,0.0,1520003387632.0,1520003387517.0,1520003386020.0,1520003392530.0,1520003376584.0,O3zza3ofZ0Q
15.0,4.0,16000.0,42.0,279.0,2000.0,300.0,2.0,2.0418991493530205,0.0,,0.08019428279273996,433187.0,777210.0,66.4,1.0,,3940.0,1577.0,tiny,4.0,no,10200.0,1520003434426.0,1520003434337.0,1520003433065.0,1520003438366.0,1520003432760.0,RSzD92Rl8j4
1.0,1.0,250.0,1.0,104.0,2000.0,16.0,1.0,3.1852396164670767,1.0,,0.08655072463768117,1039286.0,5833702.0,68.969,1.0,,1801.0,1583.0,large,0.0,no,0.0,1520003504701.0,1520003504561.0,1520003503981.0,1520003506502.0,1520003502978.0,im_2tkN4VKY
0.0,78.0,125.0,112.0,39.0,125.0,42.0,40.0,1.4610394563607214,0.0,,0.1591126957165201,457674.0,616840.0,59.426,null,,28408.0,1752.0,tiny,4.0,no,10838.0,1520003537062.0,1520003536923.0,1520003535311.0,1520003565470.0,1520003535171.0,O3zza3ofZ0Q
40.0,559.0,2000.0,42.0,14.0,2000.0,2.0,40.0,,0.0,,0.0,482555.0,2378668.0,58.066,0.0,,310000.0,19910.0,hd1080,0.0,no,0.0,1520003615364.0,1520003615239.0,1520003609217.0,0.0,1520003595329.0,tSjhLFWj9TU
0.0,1499.0,500.0,0.0,39.0,500.0,42.0,15.0,2.073710807810469,1.0,,0.14622829113084979,424973.0,621673.0,52.767,1.0,,26562.0,4853.0,tiny,0.0,no,0.0,1520003650537.0,1520003650366.0,1520003647059.0,1520003677099.0,1520003645513.0,bUhdSs0VK9c
15.0,208.0,125.0,300.0,39.0,1000.0,1.0,40.0,,0.0,,0.0,433187.0,1480627.0,66.4,0.0,,310000.0,6166.0,hd1080,0.0,no,0.0,1520003713049.0,1520003712896.0,1520003710278.0,0.0,1520003706730.0,RSzD92Rl8j4
1.0,4.0,500.0,6.0,14.0,4000.0,300.0,0.0,2.8929497221247606,0.0,,0.08826666666666667,944165.0,1750497.0,60.101,1.0,,1537.0,1064.0,small,1.0,no,2790.0,1520003745148.0,1520003744997.0,1520003743985.0,1520003746685.0,1520003743933.0,oFkulzWMotY
1.0,1.0,500.0,42.0,749.0,4000.0,42.0,0.0,3.5327131789504165,1.0,,0.1576380900053227,956721.0,4244691.0,58.066,1.0,,5547.0,692.0,large,0.0,no,0.0,1520003791002.0,1520003790861.0,1520003790341.0,1520003796549.0,1520003790169.0,tSjhLFWj9TU
15.0,29.0,125.0,2.0,279.0,250.0,0.0,0.0,1.9098307070404459,0.0,,0.07274483437813678,424973.0,621673.0,52.767,null,,13598.0,2692.0,tiny,3.0,no,10179.0,1520003818115.0,1520003818026.0,1520003816985.0,1520003831713.0,1520003815334.0,bUhdSs0VK9c
0.0,559.0,250.0,6.0,39.0,2000.0,300.0,0.0,1.5970906545509396,0.0,,0.1576380900053227,482555.0,631462.0,58.066,0.2685565151697258,,11061.0,4940.0,tiny,4.0,no,8785.0,1520003860622.0,1520003860481.0,1520003858916.0,1520003871683.0,1520003855541.0,tSjhLFWj9TU
6.0,11.0,125.0,42.0,749.0,16000.0,300.0,0.0,1.9730526252624274,0.0,,0.12751652430825172,424973.0,621673.0,52.767,null,,8967.0,4155.0,tiny,2.0,no,9714.0,1520003901991.0,1520003901902.0,1520003898874.0,1520003910958.0,1520003897747.0,bUhdSs0VK9c
