dl_los,dl_del_ms,ul_rat_kb,ul_jit_ms,ul_del_ms,dl_rat_kb,dl_jit_ms,ul_los,QoE,availableQualityLevels,bufferSizeWhenStart,clen_audio,clen_video,dur,getVideoLoadedFraction,httpInfo,join_time,player_load_time,resolution,stallingNumber,timeout,totalStallDuration,ts_firstBuffering,ts_onPlayerReadyEvent,ts_onYTIframeAPIReady,ts_startPlaying,ts_start_js,bitrate_switches
3.0,1397.0,800.0,60.0,667.0,4800.0,30.0,24.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,16012.0,hd1080,0.0,no,0.0,1518187234287.0,1518187234244.0,1518187229474.0,0.0,1518187218232.0,1.0
21.0,350.0,1600.0,120.0,519.0,1600.0,180.0,12.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,12265.0,hd1080,0.0,no,0.0,1518187262606.0,1518187262567.0,1518187259046.0,0.0,1518187250302.0,1.0
21.0,3491.0,5600.0,180.0,75.0,1600.0,180.0,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,310000.0,hd1080,0.0,no,0.0,0.0,0.0,1518187283371.0,0.0,1518187278466.0,0.0
6.0,3142.0,5600.0,90.0,1.0,2400.0,30.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,13037.0,hd1080,0.0,no,0.0,1518187321634.0,1518187321589.0,1518187311785.0,0.0,1518187308552.0,1.0
21.0,2095.0,3200.0,90.0,445.0,2400.0,90.0,24.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,12920.0,hd1080,0.0,no,0.0,1518187350636.0,1518187350571.0,1518187345248.0,0.0,1518187337651.0,1.0
27.0,3491.0,800.0,,519.0,,90.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,310000.0,hd1080,0.0,no,0.0,0.0,0.0,1518187378915.0,0.0,1518187365724.0,0.0
9.0,1397.0,3200.0,60.0,297.0,4800.0,150.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,14885.0,hd1080,0.0,no,0.0,1518187410702.0,1518187410688.0,1518187406667.0,0.0,1518187395803.0,1.0
,350.0,4800.0,120.0,593.0,5600.0,30.0,18.0,1.0,,0.08805972630983855,944165.0,1750497.0,60.101,1.0,,9750.0,5806.0,medium,0.0,no,0.0,1518187431811.0,1518187431727.0,1518187426891.0,1518187441561.0,1518187425921.0,3.0
9.0,2444.0,3200.0,240.0,297.0,7200.0,240.0,,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,12544.0,hd1080,0.0,no,0.0,1518187484665.0,1518187484633.0,1518187478808.0,0.0,1518187472089.0,1.0
15.0,3142.0,,210.0,1.0,4800.0,270.0,,0.0,,0.0,944165.0,1750497.0,60.101,0.0,,310000.0,16090.0,hd1080,0.0,no,0.0,1518187516328.0,1518187516270.0,1518187506233.0,0.0,1518187500180.0,1.0
,699.0,4000.0,150.0,445.0,800.0,30.0,3.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,6469.0,hd1080,0.0,no,0.0,1518187538815.0,1518187538767.0,1518187533231.0,0.0,1518187532298.0,2.0
3.0,3142.0,6400.0,150.0,741.0,1600.0,60.0,21.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,19526.0,hd1080,0.0,no,0.0,1518187574109.0,1518187573986.0,1518187563425.0,0.0,1518187554460.0,1.0
